, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
 Quick Asset Turnover Rate,-0.027280238645233965,-0.025142905530315146,-0.02992781957038978,-0.1297146884984886,-0.12974683030649378,0.012695616262239999,0.012206180321338725,0.012368101202783189,-0.006365177297822252,0.011440009335568222,0.1539359585984384,-0.03464310453905117,-0.057385346482142795,-0.02682132600093645,0.04658643416397612,-0.043037853510008356,-0.042925998732610056,-0.04312139970007404,-0.02935227862665383,-0.028332212186626855,-0.01647625872202873,-0.0012626425832706156,-0.024309808669608562,0.003755092187933168,0.012410639957465698,0.01441759998095442,0.014145789856925904,-0.0071766626631680815,0.03234049037900285,0.00612939753480035,-0.009261870271913244,-0.022286446170970236,-0.007291281256767244,0.007069037943991943,0.007864668870935943,-0.016815255756745,0.20337018413514435,-0.20337018413514682,-0.0016522974990787595,0.06347262521546769,0.0009549994273260067,-0.0004330274065675903,-0.023197059522398002,0.11278657944612826,0.25255836224792555,-0.029472108309935234,0.003968685915529138,-0.014566994258293844,-0.04395739676451993,0.20955939009744456,-0.010915136718803063,0.047513631494979044,0.015920685396725913,-0.20868211598299458,-0.21728067972772291,-0.08432966730257407,-0.23416047572990067,-0.0012837620225258735,0.02652946338728524,0.16241798908027907,-0.07777683909438038,-0.0012687809881330864,-0.029147785049690827,-0.03908350674306367,-0.04908834042626451,0.06736780604560255,0.0010418875242116776,-0.007652750121447188,-0.002177719928455677,-0.0036825318327324643,0.4237678681709895,1.0,-0.004605034222324583,0.15648994566507285,0.0027631126875242436,-0.007764988956481511,-0.039083506743063684,0.0673678060456025,0.041667083179283575,-0.09577222822825116,-0.055200029693876315,-0.042235729231338996,-0.058752807673451576,0.12701452170690203,0.004659022386316653,-0.023834390720280717,-0.0010226489487803678,-0.02416939391024993,-0.1297140231920999,-0.017510604598601178,0.06830542357057112,0.001264102547911562,-0.009415500505859648,,-0.15695396982333784
 Working capitcal Turnover Rate,0.0018241953300611087,0.004491113165957657,0.002487673439887767,0.02045054453194498,0.02053560696468616,-0.22956818615788482,0.09068887640294207,0.24491094309351416,0.742290344149415,0.11070315575391057,-0.003330928462631689,-0.0029086665682491663,0.0444780321326849,0.000607099538081118,-0.002914622167867232,0.006437985884710717,0.006426415647972749,0.006431343249729243,0.0021921422850508113,-0.00024026798223891868,0.1849159887215003,-0.00043532828718779277,0.0013876853971323895,2.2884541203048864e-05,-0.005974255363478161,0.00037124310951860956,0.00019784905387894657,-0.0003847209528484526,0.0045109531752070735,-0.00036659907575781664,-0.0016426150038855811,0.003030854893344818,-0.0004866167885255832,0.002905393473489272,-0.00024047371589088742,0.015299884160353303,-0.031715380080519356,0.03171538008051929,0.03163692337252535,-0.004406243468533895,0.0011007574874288308,-0.00033248510703045106,0.0018245475069624682,-0.0005938457071239391,-0.006441721432229109,0.07472748507069592,-0.0003920923315695158,-0.004527935390011799,-0.0009661097016388169,-0.004805141479144962,-0.039606485515933786,-0.006489336270395189,-2.9668532968072553e-06,0.04479206272480751,0.011016205386823392,0.017572309698261884,0.01482237570270453,-0.0003098674341836701,-7.023784931307577e-05,-0.03556553024417418,0.03067235247658847,0.00011558255671906824,-0.0038797860940272956,-0.026894745032133852,0.016588960124310756,-0.009280712828057367,-0.0002875932101696351,0.006343146930714419,-3.396402055142911e-05,-0.0036562060769200475,-0.003782711112825335,-0.004605034222324583,1.0,-0.004214555874736268,0.9481940614911444,0.0012180603798239691,-0.026894745032133828,-0.009280712828057279,-0.0012767792562592807,0.049727341933520054,0.05176302841804648,0.0017337549295473732,0.03314479320700599,-0.19734806189359458,-0.0012293090713874685,0.005680065809079499,0.00012192136140403753,0.005063450895531048,0.020449660593595365,0.0024055692466923703,-0.007808051681124351,-0.00034230998219300033,-4.011644075640897e-06,,0.0774235815955367
 Cash Turnover Rate,-0.02947675416486586,-0.025816615993831754,-0.03040969781164837,-0.071578809685556,-0.07132118690756846,0.016485026296694613,0.015581277211043073,0.01579182147289879,-0.008805470868914417,0.014595540186982068,0.04073016560554897,0.07036852076538626,-0.09388662155613683,-0.01924277341477101,0.04405053494800441,-0.05477500415124068,-0.053796587374699806,-0.053929752005266986,-0.034255858334086293,-0.058218099323973455,-0.021618303917769484,-0.012514187349033147,-0.029826527734451467,-0.009126459184339205,0.014003434390095498,0.01409731254774538,0.013462069946108454,-0.006509360156961315,0.06441870099736585,-0.002080544763609461,0.01843810199170883,-0.041483470205063044,-0.0036351027793875977,-0.022125942019729936,0.002048363742531597,-0.016561275534286754,0.13893358476269987,-0.13893358476269943,-0.014006218219004328,0.004607858857708763,-0.0003514467651567887,-0.012464428450733936,-0.031204214190627536,0.04939337794937228,0.06072172572025577,-0.02250836273729257,0.014978680311109042,0.01786187375395781,-0.03982826009854764,0.04166320359455576,-0.014321621548019949,0.011303911280216676,0.01257887932913812,-0.1409984649909411,-0.10671154478588082,-0.04449077422554414,-0.2875594427724182,0.0015032309406184043,-0.044146671956985815,0.12636954328198674,-0.10175751909801979,0.0025889949514190966,-0.017556251155862963,-0.006542801978317019,-0.020252294452794077,0.016698969693630973,-0.01446632790995888,0.007397795931701836,0.0018121404372805929,-0.008045768248919791,0.07265794480621837,0.15648994566507285,-0.004214555874736268,1.0,0.0033846410963500524,-0.004830349065416144,-0.006542801978317016,0.016698969693631018,0.0006061040344277117,-0.14408695920160386,-0.10175084752871764,-0.06935884795467175,-0.07405288686696877,0.07344771598486112,0.006498275122582432,-0.016255147962097746,-0.008560282321836817,-0.023444440199401385,-0.07157847917112506,0.009239606902741334,0.013462718656070629,0.0001431997448242935,-0.003772712973584065,,-0.14570974637900044
 Cash Flow to Sales,0.011759074721989645,0.01219830539171566,0.01197671411296234,-0.04155873217782673,-0.04160398607212467,-0.08474671642884561,0.23367526077074185,0.37995189683655417,0.677229592073491,0.2548856750342124,0.0030815522909581677,0.00367721118461086,0.01608556134327537,0.00017321118966409388,0.00422723054916212,0.009424090993493978,0.009397748359140675,0.009402653665437804,0.0072552690141006095,0.004107017843319547,0.03716474014448329,0.005120019136552182,0.006428476173098173,-0.00018201205788990086,-0.005175366066625941,0.0009161833519079891,0.0007558363329489116,-0.00017955155258715425,0.004524237403527316,3.931199615230024e-05,-0.00060972566212781,0.006673565792163649,-0.00010083733051736636,2.472118872308535e-05,-3.771539806626669e-05,0.004189174254878662,-0.018201161998925863,0.018201161998926033,0.008498778092009315,-0.00047560453224323914,0.0005408774138298359,0.0052057156378007095,0.00686447405113179,0.0034588518750655085,0.007063980689638109,0.05266751770025072,7.283226573908587e-05,-0.00016544486583776737,0.0016441839445823416,0.004045403225178248,-0.019828700887423972,0.0007622625879425847,0.00016927686740864174,0.036275600978212356,0.014315755470089652,0.017334321565583722,0.013979407415802994,0.00010903375387597246,-9.159442224049592e-06,-0.0246708714955914,0.013311824856441928,8.467155481005387e-05,-0.0022744427833660515,-0.022191066212540713,0.014278879108944263,-0.005402511943438401,0.0005184698607286308,0.010140118668603752,0.0004659837779258274,4.491537210671781e-05,0.0018363729944452394,0.0027631126875242436,0.9481940614911444,0.0033846410963500524,1.0,-4.864086593789308e-05,-0.02219106621254069,-0.00540251194343835,0.0008947514684326836,0.06500993776155688,0.037195632348246535,0.008168341881557701,0.04302094074035595,-0.20250927158757326,-6.51293130995848e-05,0.011634287252831933,0.00018208492010732283,0.003314201870678269,-0.04155965715166727,0.002660659401894626,-0.0037701139668340562,0.0002081097851397183,-8.252395673744583e-05,,0.022476446081180792
 Fixed Assets to Assets,-0.009191895079865632,-0.0058601102591071715,-0.00836354688344421,0.0035068763231074465,0.003523849788028721,0.00010624619997664908,-4.744534284037555e-05,-2.9316823241594104e-06,-0.00035456141836052015,-1.6174686857842105e-05,-0.007464271158170334,-0.009091702857493278,-0.006932644943100452,-0.0018398756903927305,-0.01004452364093411,-0.0031115704844916253,-0.0030938715186302145,-0.0031074371415367834,-0.006477343074278501,-0.023986524700711546,-0.0003112151914216827,-0.0067322119229786875,-0.006481655252754612,-0.0003012455393339815,4.204703468662624e-05,0.0003810281104350019,0.00037606981134170496,-4.268424440480756e-05,0.006570117311099057,-0.0001661659823040909,-0.00020589165427116934,-0.0349560167001405,-0.0001466706035065451,-0.00041463313748778285,-0.0139028306738433,-0.0003176184234293365,0.023417889873770036,-0.02341788987377038,0.39370488232786865,0.015588433011290231,-0.0005986379648065614,-0.006722723579053473,-0.006716405235597975,0.0352814223515996,-0.016058988448264786,-0.0005566899309758548,0.006008312767969188,-0.007657885466376407,-0.004930566063630762,-0.008856103623961638,-0.00020617271517373912,-0.004646326004605057,0.14265304401723158,0.0014063809701203667,-0.02173140696600693,0.025904157320447,-0.01071595003039163,-0.00025355870542373833,0.048718012636004025,0.03264578180016877,-0.00836921717955087,0.0016582421014411377,-0.0011612588965955646,0.013907939186570743,0.007193242883168713,0.01525800365484213,-0.0011502740567703187,-0.0020272979312112847,-0.0004289000529170568,-0.011092451659847175,-0.005133980722192037,-0.007764988956481511,0.0012180603798239691,-0.004830349065416144,-4.864086593789308e-05,1.0,0.013907939186570743,0.015258003654842103,-0.002921938027752989,-0.003534931738432765,-0.0013776409516436734,-0.021983078411472328,-0.003227682829061904,0.0016855800696727406,-0.0004150601207400182,-0.004379524792398163,-0.0005993704060167255,-0.006361415484949137,0.0035062349876798164,-0.0006997973713370257,0.010509136480743107,-0.0008253730349737263,-0.002168755425143836,,-0.0077584345543674285
 Current Liability to Liability,0.05278278935678455,0.08040052601831732,0.046694159894203655,0.0635470594496559,0.06465673217575209,0.020520296120562317,0.01900879200096448,0.013731916452109399,-0.011739197056918728,0.014602301098526657,-0.013652980239444423,-0.007120310776238926,-0.06872941830654059,0.025008522913404663,0.0641816286759825,0.04468945576564797,0.04462352229120842,0.04453782610720162,0.10731037557562409,0.006296321367089707,-0.027977463285618377,0.13599587888290912,0.10656830871784918,0.01651948848625348,0.011871298904880983,-0.0009290617162303142,-0.0009329321834223063,0.0033924521584083457,-0.044134856490970605,-0.01612883631070038,0.027072741910790978,-0.011323890885390833,0.004914907972312535,0.028012221390597933,-0.022007611068388753,-0.006780424979419396,-0.08232240849950506,0.08232240849950763,0.0744284263310613,-0.0755942233417537,-0.004682578023133155,0.1353853061918379,0.10248696299648201,0.14918659432233022,0.3219934905172589,0.012795381566877857,0.02445353792791698,-0.014909726770973896,-0.285401387451287,0.19403101282376511,-0.027657439629037696,0.12511822619057633,0.02319926700599716,0.25150190052979454,0.4629726032607865,0.5656399689639406,0.24361547395027736,0.024001156020104907,0.008926241242443577,0.4221846409610596,0.06260209213320105,-0.010507192250398128,-0.0006524426961062938,1.0,0.07125938707032883,0.08693115813827716,0.0724851667318348,0.027069630347199013,0.013302773586972743,0.1921528407258926,-0.038197995756219696,-0.039083506743063684,-0.026894745032133828,-0.006542801978317016,-0.02219106621254069,0.013907939186570743,1.0,0.08693115813827715,-0.23445394462420532,0.05480910225883289,0.04643260471834864,-0.0030669829587960467,0.041193782205272665,-0.0397364734760585,0.007156826096904122,0.06627659966545922,0.03422871492120631,-0.01629637390621692,0.06354623126265067,0.017171495424376813,-0.017927332966400394,-0.017910730724930553,0.009450223784547424,,0.09893034205999333
 Current Liability to Equity,-0.14273355888520847,-0.13381605386419002,-0.14287931566011866,-0.08042183631116345,-0.08034966300278795,0.0018596587395818744,-0.002202021872148497,-0.003196383586412111,-0.008968570801623867,-0.0026894542185921886,0.035898533295514685,-0.037451958867854664,-0.08756733627312131,-0.018880266653909315,-0.015970019589744155,-0.10209815402821859,-0.10253925909913031,-0.10243133053248075,-0.09496558082981461,-0.04502242958599908,-0.006360201327597054,-0.055461004956811444,-0.08917433713688085,0.004455693543821226,0.005972663015513395,-0.007516667028314963,-0.007520602507159013,-0.0061793771781645974,-0.03628268938417199,-0.05527915994107253,-0.0014066931003562453,-0.16759359147303646,-0.003581533010856422,0.014776693265300012,0.004542262354261697,-0.009966570708719211,0.34369239974530896,-0.34369239974530813,0.013201272836579984,0.8927718551578725,0.6229048700161293,-0.05316865606496984,-0.08381871068557153,0.6618050188146193,0.12425701796189459,0.03332222331214609,0.007743939621478284,-0.01845644258229436,-0.043548335806912614,0.26781639379149713,0.013609736073718792,0.010680396105806334,0.006436376361687912,-0.16158029662222909,0.02462945583652113,0.10533088112177558,-0.07991016526127512,-0.0773151723761834,0.03277636074583445,0.3529860575526501,-0.09168291663804137,0.0031569955289020746,0.005083005172357359,0.08693115813827715,-0.692674621281319,1.0,0.009317113076818912,-0.10607450328725265,-0.00697999514627451,0.06334465130781863,0.039556868380025506,0.0673678060456025,-0.009280712828057279,0.016698969693631018,-0.00540251194343835,0.015258003654842103,0.08693115813827715,1.0,0.589336481212094,-0.007062120210760447,-0.016805195477607095,-0.10777768564682105,-0.20463233156374988,0.10860903775591106,-0.2685583267584921,-0.15031939746781245,0.026494078409751032,-0.004031801726665177,-0.0804221156705716,-0.749620873003492,0.963908387166064,0.000745143442458934,0.005037902913150827,,-0.15644310208684448
 Equity to Long-term Liability,-0.08653454560411135,-0.10301547661450676,-0.08318957820602153,-0.0688101896697406,-0.06876340351280974,-0.0006537565600453047,-0.007929473140193275,-0.006325724709650092,-0.014376907454954393,-0.003092937353695372,0.02483654665007801,-0.01252377222694746,-0.04017785485538726,0.038228906019033865,-0.05442615750398931,-0.08900435517708524,-0.09072501537256605,-0.09066721551238754,-0.11438106953324352,-0.03748814573964412,0.010573505481006197,-0.0942850152815634,-0.11047819548119517,-0.004257695909534518,-0.012553736106933019,-0.018494300525580633,-0.018514484207776658,-0.008501057770566024,-0.01385454932683409,-0.07140148624879433,-0.011810861156004842,-0.018924034906529524,-0.0024342561740277285,-0.0032870355627486808,0.00854319237364903,-0.006327522020573866,0.24497414060152525,-0.24497414060152473,-0.021715880696382587,0.8068892480541348,0.4628583544884792,-0.094417216326357,-0.1119743179731343,0.4860970679009861,-0.02065492055238365,-0.008363764424656873,-0.00799433086877922,0.016432405507748823,0.053103829682193765,0.22324009955158813,0.031913873664667844,-0.05160326766887658,-0.008977636193251839,-0.13929364607542413,-0.11515034102104633,-0.10365169929620902,-0.09523022101373414,-0.005046740190308178,0.012987549482610713,0.04533909957072586,-0.05835236911990422,-0.001959650656309862,0.009926382058132368,-0.23445394462420532,-0.3531359369779791,0.589336481212094,-0.022575176120809774,-0.07371318588764596,-0.005367670482040965,-0.003317892568230812,0.032434351742154845,0.041667083179283575,-0.0012767792562592807,0.0006061040344277117,0.0008947514684326836,-0.002921938027752989,-0.23445394462420532,0.589336481212094,1.0,-0.027924701311576525,-0.01693939188600717,-0.04726827268374287,-0.2189985709549153,0.12949880521978951,-0.055805305161500555,-0.12024225703617314,0.006302169080654552,-0.0014387650633219196,-0.06880943138043681,-0.6159049249887032,0.778134786120557,0.0029361060156788766,-0.007972565075181435,,-0.11088486056096725
 Cash Flow to Total Assets,0.262454379642677,0.2635913677734349,0.2584278254572011,0.09809717018200619,0.09805621568687342,0.02091785839186274,0.04184490397875326,0.046314052246685326,0.03328470714467102,0.0423282906665905,0.007630425463857186,0.00829261164631956,0.22478612692296643,-0.012599464132473955,0.030302093008271688,0.1429251269628129,0.14292996579527228,0.1430172414709843,0.22237830873630224,0.24679125305217817,0.01579903413944074,0.21851108552213877,0.22439197472048936,-0.004178200131588544,0.008679756218369824,0.027410761272126206,0.026884356684594685,-0.00020846036252396917,-0.10464133478714917,-0.008237059090470568,0.038568588761989146,0.24781407201539898,-0.006635019631026802,-0.008936212740539302,-0.011677503921961698,0.022285197677383007,-0.06650222490628363,0.0665022249062859,0.027431746549628724,-0.026453095576035087,-0.01353275518816373,0.2163780841386563,0.21867286110445278,-0.025453204551255562,0.09313072779186106,0.012485580811261015,-0.002479783846253528,-0.015477214913403784,-0.05216901576443731,0.044739090576376,-0.004928825798507136,0.07527103889079051,-0.0028072797959124924,0.2339576636074789,0.2549294001855238,0.2029071000792993,0.4801743512885432,-0.0010198624623493126,-0.020220359365751655,-0.037779676409170626,0.27359772421676176,0.005108494406262642,0.023234209824732666,0.05480910225883289,0.06575473121475116,-0.007062120210760447,-0.0026792350535846336,0.18964188685103012,0.00200031713860979,-0.12759096317096355,-0.05451409239140952,-0.09577222822825116,0.049727341933520054,-0.14408695920160386,0.06500993776155688,-0.003534931738432765,0.05480910225883289,-0.007062120210760447,-0.027924701311576525,1.0,0.7126550572595802,0.33247077060346464,0.5899984776341612,-0.11500942748331384,-0.02292424346818301,0.25489847924329795,-0.016781925661366836,0.011692895964193527,0.09809883180409242,0.05048291462581401,-0.01589298616633645,-0.0029906792630533235,0.00017646440277743248,,0.03401452659320321
 Cash Flow to Liability,0.15969923474494535,0.15706527436901582,0.15702209146902005,0.11413849428429773,0.11405983500337034,0.004668979944885169,0.011516503158831834,0.012243294427906438,0.011812922789763303,0.014059032597264412,-0.006762326660879995,-0.008771121457325374,0.3648116740073056,-0.011340920137004128,0.023895320681700763,0.07698004305133467,0.07691691218577623,0.0768714052693776,0.12340260274906352,0.12925002397470917,0.15696562212996265,0.11881623599088781,0.12398293011750318,0.0023933694588605396,0.003389163620222861,0.015735579662410706,0.015740623912294298,0.00012043514162365381,-0.06455224189531468,-0.0019365275090870116,0.01951609942925085,0.1366520303851326,-0.005369814358301451,-0.0040885878014425186,-0.004043396362185968,0.14928533710111977,-0.07698264467310073,0.07698264467310104,0.05251672393566636,-0.022184783743040535,-0.004789669897941956,0.11742103034129599,0.12251490509133627,-0.023877065182093878,0.037509470373966354,0.02265065386788921,-0.0031049854059351824,-0.0008053967504512018,-0.025605244151451368,0.0010480410454999428,-0.0019218874643284376,0.05362688394641392,8.352731974058416e-05,0.17626460831811563,0.1614556772844465,0.13396787328647242,0.35326956151990535,-0.0013933816428293062,-0.008704410490164573,-0.05363712273010017,0.38208846503099436,-0.0011312523546752446,0.020917427207744692,0.04643260471834864,0.04251802984460067,-0.016805195477607095,0.0045636129111521475,0.08690505331473478,0.0008182658132140265,-0.045883466492698526,-0.030324369795828712,-0.055200029693876315,0.05176302841804648,-0.10175084752871764,0.037195632348246535,-0.0013776409516436734,0.04643260471834864,-0.016805195477607095,-0.01693939188600717,0.7126550572595802,1.0,0.21411578481593396,0.32061257284701733,-0.07169445352361806,-0.005519620747761781,0.14256673332107397,-0.014122740839526277,0.0150177699072625,0.11413983913964372,0.026664457311334364,-0.01921305085008756,-0.0024004356839430713,0.0018355974035956203,,0.10977483972676579
 CFO to Assets,0.5043111598834565,0.44301701308356833,0.49704245101403133,0.2269900273220129,0.22691188832702164,0.026682227929496944,0.03181297868333567,0.02945447949920316,-0.0009725525900024779,0.030652740347326617,-0.005426454289174948,0.07362867481595961,0.6033053942588786,0.01148236797108072,0.1031009470802454,0.23081419530533298,0.23062914354186748,0.23034230153610835,0.33363578916963327,0.7150034599290613,-0.002226422865997455,0.3382062927917964,0.3082004372381754,-0.046843500977736735,0.002719246037919988,0.014993170331755096,0.013393106370493704,-0.0012624584831033312,0.10086447970116016,-0.018420844802135374,-0.023001499316260332,0.7382760469156606,0.001194922227010339,-0.023446703177018493,0.00888024002504261,0.023123265137755217,-0.268159411094833,0.2681594110948347,-0.03175786940698536,-0.11762375913801355,-0.011930669457331403,0.3378722656158707,0.31899060817726244,-0.16802848154013023,0.018741063682400912,-0.02665871662052168,0.004308409659655886,-0.033694577586187525,0.020639235899853527,-0.05783236320307282,-0.009930020923076445,0.09102252553837291,-0.008625493784511858,0.1316765761741189,0.08485325767049177,-0.059644963528460555,0.2818317905382732,-0.0185243226879556,-0.02989285369291032,-0.2527778585532818,0.7029373866803394,-0.01044141359017846,0.02610787422162305,-0.0030669829587960467,0.016175311532131614,-0.10777768564682105,0.02481405889185597,0.3714875590708472,0.01812433609914181,-0.12034187673723676,0.03532221612291955,-0.042235729231338996,0.0017337549295473732,-0.06935884795467175,0.008168341881557701,-0.021983078411472328,-0.0030669829587960467,-0.10777768564682105,-0.04726827268374287,0.33247077060346464,0.21411578481593396,1.0,0.18129826918722536,-0.09964625539433053,-0.03591250026400428,0.44009489283763653,-0.07604110109903425,0.00776888954553031,0.2269899536658154,0.10784997844081266,-0.09854495176333114,-0.003771417708755571,0.006057291900250834,,0.11362909617893303
 Cash Flow to Equity,0.1290020097656248,0.11292924095111144,0.12362226766678129,0.03067221777059046,0.030676148687684514,0.014088053831172773,0.02624485248652545,0.03002212689170244,0.01851526729570388,0.027139757074862235,0.01472170830767823,0.008972009612260811,0.09776130212601185,-0.006994774892188379,0.021562787278939344,0.07298175345209537,0.0729999875642987,0.0730798059584118,0.1296607779451827,0.19967461060071684,0.003660075251086247,0.1261645870771243,0.1055906651055199,-0.005538874014101831,-0.020306687561658494,-0.006924728243829433,-0.007324254768514518,-0.0008339250561734653,-0.04838516975424924,0.013669010690655374,0.022967111478207566,0.08908925053127477,-0.00290668022315145,-0.005716854382424101,-0.011265989845689418,0.006952851664029287,-0.003177835971761659,0.0031778359717630727,0.011581559694148593,-0.19354336534402497,-0.295827014262252,0.13242516029746562,0.13091626827189803,-0.15992005169449328,0.05202350327831731,0.00533118164126364,-0.0008350388099223541,-0.016848292156716214,-0.026668548120140904,0.08408345540728991,-0.0046605245884905125,0.01855195708410184,-0.0008775069431110565,0.10112168294133243,0.14866672233184772,0.12034346370315299,0.2773033874539927,-0.006788462498698892,-0.014240640545206356,0.02714166764912401,0.11970742395214626,0.008403070075573867,0.016766215124578893,0.041193782205272665,0.25667831999584917,-0.20463233156374988,-0.003569424900122352,0.10586188250484753,0.0009689283939649099,-0.09025644388294517,-0.03322135475377287,-0.058752807673451576,0.03314479320700599,-0.07405288686696877,0.04302094074035595,-0.003227682829061904,0.041193782205272665,-0.20463233156374988,-0.2189985709549153,0.5899984776341612,0.32061257284701733,0.18129826918722536,1.0,-0.06338556103185271,0.1174015592663155,0.12022794684348236,-0.024582534750390454,0.005882925210219906,0.030672094698022373,0.18066591724171213,-0.23110698972442315,-0.0014706981131113349,0.00023935757539342157,,0.003320851626668661
 Current Liability to Current Assets,-0.16072518610532815,-0.19567314671809696,-0.16257204723706556,-0.13265048870151,-0.13260735263346818,-0.07967949242216729,-0.13858394348983527,-0.1664529530648023,-0.08487456459296007,-0.14026353680977402,0.015510659725368012,-0.06520363085267071,-0.12647272208444796,2.175416775989125e-05,-0.053578767731233684,-0.16436658657583525,-0.16508332729978287,-0.1650106332248071,-0.15468980263592497,-0.05280390128393424,-0.0062238832915745565,-0.1457406071479463,-0.14872081191207634,-0.0028131149286931036,-0.021073135661791018,-0.0335975526088403,-0.033394841331898587,-0.00917407309545971,-0.027703203326341113,0.11759024180318996,-0.008919901763501619,-0.05297137595029437,0.3476300360347476,0.006419897886667915,0.014301573728016069,-0.025966237085060694,0.4281799660988809,-0.42817996609888215,-0.02160777930777936,0.1249078813991599,0.08423123536641786,-0.1442308664911053,-0.15371863098149804,0.027166400873411392,-0.08729721618691841,0.0212185032623634,0.06819669232647213,-0.054892176890254794,0.1425891051149956,0.126417428406011,0.027678420647837702,-0.050780247065063344,-0.0071212195094987295,-0.6255600985396375,-0.3395498873353475,-0.35419763312146724,-0.28669111997390034,0.20288283442023017,0.044378277713185026,0.35183171867445395,-0.1397180479989394,0.002946441686599583,0.12502355400882548,-0.0397364734760585,-0.17638959194408535,0.10860903775591106,-0.007066683685170366,-0.17474173672571183,0.11576804879736362,-0.01288071342955049,0.1275623960403687,0.12701452170690203,-0.19734806189359458,0.07344771598486112,-0.20250927158757326,0.0016855800696727406,-0.0397364734760585,0.10860903775591106,0.12949880521978951,-0.11500942748331384,-0.07169445352361806,-0.09964625539433053,-0.06338556103185271,1.0,0.2471575245667471,-0.20275115478830502,0.01285281926434946,-0.049342449055928654,-0.13265215545626402,-0.0703537308349616,0.1323721972977458,0.02203283959808452,0.007652232081496739,,-0.2621989921947064
